124,그림을 그리는 바보 같은 방법,Metro Trains
125,클래시 오브 클랜,Supercell
126,"Happy Color – 컬러링북, 숫자 색칠 게임",X-Flow
127,밀크초코 - 온라인 FPS,GameParadiso
128,스와이프 벽돌 깨기,Monthly 23
129,Age of Z,"Camel Games, Inc"
130,악마키우기,마에스트로
131,우주 전쟁: 외계인들의 공격,ONESOFT
132,Hotboy and IceGirl: Temple in Forest,rohana game
133,PES 2019 PRO EVOLUTION SOCCER,KONAMI
134,행복의 저택,Firecraft Studios
135,Never Stops,MOBILENOVO
136,무적 전함,Leona Wheeler
137,하스스톤,"Blizzard Entertainment, Inc."
138,모두의마블,Netmarble
139,마이토킹안젤라 (My Talking Angela),Outfit7 Limited
140,개미 키우기,럭스비
141,유휴 비행기 전쟁,Mohammednvw
142,쿠키런 for Kakao,Devsisters Corporation
143,"나의최애캐 (오빠돌, #oppadoll)",0.1%
144,Noodleman.io - Fight Party Games,Riovox
145,한글 끝말잇기,plantymobile
146,메이플스토리M,NEXON Company
147,키키와묘묘의 논리 모험,BabyBus Kids Games
148,스도쿠,Easybrain
149,뱅드림! 걸즈 밴드 파티!,Kakao Games Corp.
150,아기 팬더의 애완동물 집 디자인,BabyBus Kids Games
151,Fill - one-line puzzle game,MagicAnt.Inc
152,드래곤캠프 (Merge Dragons!),Gram Games Limited
153,황제라 칭하라,"Clicktouch Co.,Ltd."
154,Craftsman: Building Craft,StarGame22
155,2019 축구 재미,WUMAI GAME
156,Spill It!,tastypill
157,블록 해제 - 블록 퍼즐,Fun Free Fun
158,전쟁 비행기 3D,OverkillDust
159,1945 Air Forces,ONESOFT
160,Toca Kitchen 2,Toca Boca
161,Eternium (이터니움),"Making Fun, Inc."
162,수련충 : 수련에 충성하라,DAERISOFT
163,거지키우기2 한푼마을,manababa
164,캔디크러쉬사가,King
165,Gunship War：Total Battle,Mad Fun
166,단어 게임 : 크로스 필링,Bravo Driving
167,Idle Heroes - 아이들 히어로즈,DHGAMES
168,Big Big Baller,Lion Studios
169,피아노 실제 - 음악 매직 게임 실행하며 피아노 키보드 로 노래를 배워보세요,Gismart
170,Slidey®: 블록 퍼즐,Habby
171,파스텔걸,SeyeonSoft
172,Amazing Frog 3D Simulator City,ProtuiStudio
173,성 키우기,RAON GAMES
174,마이홈 - 꿈의 디자인,Zentertain
175,블레이드&소울 레볼루션,Netmarble
176,스나이퍼 3D 어쌔신: 무료 슈팅 게임 (Sniper 3D Assassin),Fun Games For Free
177,아재 능력 고사 : 아재개그와 넌센스퀴즈,BIGJAM
178,Love Poly - 최신의 3D퍼즐게임,incolor
179,럼블 스타즈 축구,Frogmind
180,Drift City-Hottest Racing Game,Mad Fun
181,포켓몬 퀘스트,The Pokemon Company
182,도시 암살자,X-Shooting King
183,Love Balls,Lion Studios
184,"극한직업:RICH-재벌 키우기 전략 SRPG, 독창적인 시물레이션 게임",Crazy Rich Game
185,Rodeo Stampede: Sky Zoo Safari,Yodo1 Games
186,Tap Tap Music-Pop Songs,Tap Lab
187,3D운전교실,John 3:16
188,리니지M,NCSOFT Corporation
189,크레이지아케이드 BnB M,NEXON Company
190,Dancing Line,Cheetah Games
191,마법의 소라고둥,Whoing Soft(후잉 소프트)
192,피싱앤라이프,Nexelon inc.
193,공략불가 운빨 디펜스,Hees Apps
194,한게임 신맞고 : 김준현이 선택한 원조 고스톱,NHN Starfish
195,매드탱크,MadMans
196,트라하,NEXON Company
197,로드 모바일: 제국의 전쟁 - MMORPG,IGG.COM
198,Dream League Soccer 2019,First Touch Games Ltd.
199,이사만루2019,Netmarble
200,Merge Tower Bots,Hyper Mania
